"id","classroom","direction","timestamp"
"1","comsys_30/03","IN","2026-03-30 09:00:00"
"2","comsys_30/03","IN","2026-03-30 09:00:03"
"3","comsys_30/03","IN","2026-03-30 09:00:06"
"4","comsys_30/03","IN","2026-03-30 09:00:07"
"5","comsys_30/03","IN","2026-03-30 09:00:08"
"6","comsys_30/03","IN","2026-03-30 09:00:09"
"7","comsys_30/03","IN","2026-03-30 09:00:10"
"8","comsys_30/03","IN","2026-03-30 09:00:11"
"9","comsys_30/03","IN","2026-03-30 09:00:14"
"10","comsys_30/03","IN","2026-03-30 09:00:16"
"11","comsys_30/03","IN","2026-03-30 09:00:25"
"12","comsys_30/03","IN","2026-03-30 09:00:26"
"13","comsys_30/03","IN","2026-03-30 09:00:27"
"14","comsys_30/03","IN","2026-03-30 09:00:29"
"15","comsys_30/03","IN","2026-03-30 09:00:31"
"16","comsys_30/03","IN","2026-03-30 09:00:35"
"17","comsys_30/03","OUT","2026-03-30 09:00:46"
"18","comsys_30/03","IN","2026-03-30 09:01:12"
"19","comsys_30/03","IN","2026-03-30 09:01:15"
"20","comsys_30/03","IN","2026-03-30 09:01:26"
"21","comsys_30/03","IN","2026-03-30 09:01:27"
"22","comsys_30/03","OUT","2026-03-30 09:01:28"
"23","comsys_30/03","OUT","2026-03-30 09:01:29"
"24","comsys_30/03","OUT","2026-03-30 09:01:30"
"25","comsys_30/03","OUT","2026-03-30 09:01:31"
"26","comsys_30/03","IN","2026-03-30 09:01:32"
"27","comsys_30/03","OUT","2026-03-30 09:01:33"
"28","comsys_30/03","IN","2026-03-30 09:01:37"
"29","comsys_30/03","IN","2026-03-30 09:01:41"
"30","comsys_30/03","IN","2026-03-30 09:01:45"
"31","comsys_30/03","IN","2026-03-30 09:01:49"
"32","comsys_30/03","IN","2026-03-30 09:01:53"
"33","comsys_30/03","IN","2026-03-30 09:01:57"
"34","comsys_30/03","IN","2026-03-30 09:02:01"
"35","comsys_30/03","IN","2026-03-30 09:02:05"
"36","comsys_30/03","IN","2026-03-30 09:02:09"
"37","comsys_30/03","IN","2026-03-30 09:02:13"
"38","comsys_30/03","OUT","2026-03-30 09:02:17"
"39","comsys_30/03","OUT","2026-03-30 09:02:18"
"40","comsys_30/03","OUT","2026-03-30 09:02:23"
"41","comsys_30/03","OUT","2026-03-30 09:02:28"
"42","comsys_30/03","IN","2026-03-30 09:02:33"
"43","comsys_30/03","IN","2026-03-30 09:02:34"
"44","comsys_30/03","IN","2026-03-30 09:02:35"
"45","comsys_30/03","OUT","2026-03-30 09:02:36"
"46","comsys_30/03","IN","2026-03-30 09:02:37"
"47","comsys_30/03","OUT","2026-03-30 09:02:38"
"48","comsys_30/03","IN","2026-03-30 09:02:39"
"49","comsys_30/03","OUT","2026-03-30 09:02:44"
"50","comsys_30/03","IN","2026-03-30 09:02:49"
"51","comsys_30/03","IN","2026-03-30 09:03:12"
"52","comsys_30/03","IN","2026-03-30 09:03:35"
"53","comsys_30/03","IN","2026-03-30 09:04:56"
"54","comsys_30/03","OUT","2026-03-30 09:08:13"
"55","comsys_30/03","IN","2026-03-30 09:10:29"
"56","comsys_30/03","OUT","2026-03-30 09:12:33"
"57","comsys_30/03","OUT","2026-03-30 09:19:04"
"58","comsys_30/03","OUT","2026-03-30 09:20:15"
"59","comsys_30/03","IN","2026-03-30 09:25:14"
"60","comsys_30/03","IN","2026-03-30 09:30:13"
"61","comsys_30/03","OUT","2026-03-30 09:30:48"
"62","comsys_30/03","OUT","2026-03-30 09:30:50"
"63","comsys_30/03","OUT","2026-03-30 09:30:52"
"64","comsys_30/03","IN","2026-03-30 09:30:54"
"65","comsys_30/03","IN","2026-03-30 09:30:56"
"66","comsys_30/03","OUT","2026-03-30 09:30:57"
"67","comsys_30/03","OUT","2026-03-30 09:30:58"
"68","comsys_30/03","OUT","2026-03-30 09:31:03"
"69","comsys_30/03","OUT","2026-03-30 09:31:07"
"70","comsys_30/03","OUT","2026-03-30 09:31:12"
"71","comsys_30/03","OUT","2026-03-30 09:31:16"
"72","comsys_30/03","OUT","2026-03-30 09:31:17"
"73","comsys_30/03","IN","2026-03-30 09:31:18"
"74","comsys_30/03","IN","2026-03-30 09:31:19"
"75","comsys_30/03","OUT","2026-03-30 09:31:20"
"76","comsys_30/03","OUT","2026-03-30 09:31:21"
"77","comsys_30/03","OUT","2026-03-30 09:31:23"
"78","comsys_30/03","OUT","2026-03-30 09:31:25"
"79","comsys_30/03","IN","2026-03-30 09:31:27"
"80","comsys_30/03","OUT","2026-03-30 09:31:29"
"81","comsys_30/03","IN","2026-03-30 09:31:31"
"82","comsys_30/03","IN","2026-03-30 09:31:39"
"83","comsys_30/03","IN","2026-03-30 09:31:40"
"84","comsys_30/03","IN","2026-03-30 09:31:42"
"85","comsys_30/03","IN","2026-03-30 09:31:44"
"86","comsys_30/03","IN","2026-03-30 09:31:46"
"87","comsys_30/03","OUT","2026-03-30 09:31:48"
"88","comsys_30/03","IN","2026-03-30 09:31:50"
"89","comsys_30/03","OUT","2026-03-30 09:31:51"
"90","comsys_30/03","IN","2026-03-30 09:31:52"
"91","comsys_30/03","IN","2026-03-30 09:31:53"
"92","comsys_30/03","OUT","2026-03-30 09:31:54"
"93","comsys_30/03","IN","2026-03-30 09:31:55"
"94","comsys_30/03","IN","2026-03-30 09:31:56"
"95","comsys_30/03","OUT","2026-03-30 09:31:57"
"96","comsys_30/03","OUT","2026-03-30 09:31:58"
"97","comsys_30/03","OUT","2026-03-30 09:31:59"
"98","comsys_30/03","OUT","2026-03-30 09:32:00"
"99","comsys_30/03","OUT","2026-03-30 09:32:01"
"100","comsys_30/03","OUT","2026-03-30 09:32:02"
"101","comsys_30/03","OUT","2026-03-30 09:32:03"
"102","comsys_30/03","IN","2026-03-30 09:32:04"
"103","comsys_30/03","OUT","2026-03-30 09:32:05"
"104","comsys_30/03","IN","2026-03-30 09:32:06"
"105","comsys_30/03","OUT","2026-03-30 09:32:07"
"106","comsys_30/03","OUT","2026-03-30 09:32:08"
"107","comsys_30/03","OUT","2026-03-30 09:32:12"
"108","comsys_30/03","OUT","2026-03-30 09:32:16"
"109","comsys_30/03","OUT","2026-03-30 09:32:32"
"110","comsys_30/03","IN","2026-03-30 09:32:33"
"111","comsys_30/03","IN","2026-03-30 09:32:34"
"112","comsys_30/03","IN","2026-03-30 09:32:35"
"113","comsys_30/03","OUT","2026-03-30 09:32:36"
"114","comsys_30/03","IN","2026-03-30 09:32:37"
"115","comsys_30/03","OUT","2026-03-30 09:32:38"
"116","comsys_30/03","IN","2026-03-30 09:32:39"
"117","comsys_30/03","IN","2026-03-30 09:32:40"
"118","comsys_30/03","OUT","2026-03-30 09:32:41"
"119","comsys_30/03","IN","2026-03-30 09:32:42"
"120","comsys_30/03","OUT","2026-03-30 09:32:44"
"121","comsys_30/03","IN","2026-03-30 09:32:45"
"122","comsys_30/03","OUT","2026-03-30 09:32:47"
"123","comsys_30/03","OUT","2026-03-30 09:32:48"
"124","comsys_30/03","IN","2026-03-30 09:32:49"
"125","comsys_30/03","OUT","2026-03-30 09:32:53"
"126","comsys_30/03","IN","2026-03-30 09:32:57"
"127","comsys_30/03","OUT","2026-03-30 09:33:01"
"128","comsys_30/03","OUT","2026-03-30 09:33:05"
"129","comsys_30/03","OUT","2026-03-30 09:33:09"
"130","comsys_30/03","OUT","2026-03-30 09:33:13"
"131","comsys_30/03","IN","2026-03-30 09:33:17"
"132","comsys_30/03","OUT","2026-03-30 09:33:18"
"133","comsys_30/03","IN","2026-03-30 09:33:19"
"134","comsys_30/03","OUT","2026-03-30 09:33:20"
"135","comsys_30/03","OUT","2026-03-30 09:33:21"
"136","comsys_30/03","IN","2026-03-30 09:33:22"
"137","comsys_30/03","IN","2026-03-30 09:33:23"
"138","comsys_30/03","IN","2026-03-30 09:33:25"
"139","comsys_30/03","OUT","2026-03-30 09:33:27"
"140","comsys_30/03","IN","2026-03-30 09:33:29"
"141","comsys_30/03","IN","2026-03-30 09:33:30"
"142","comsys_30/03","OUT","2026-03-30 09:33:31"
"143","comsys_30/03","IN","2026-03-30 09:33:32"
"144","comsys_30/03","OUT","2026-03-30 09:33:33"
"145","comsys_30/03","IN","2026-03-30 09:33:34"
"146","comsys_30/03","OUT","2026-03-30 09:33:35"
"147","comsys_30/03","IN","2026-03-30 09:33:36"
"148","comsys_30/03","IN","2026-03-30 09:33:40"
"149","comsys_30/03","IN","2026-03-30 09:33:44"
"150","comsys_30/03","IN","2026-03-30 09:33:45"
"151","comsys_30/03","IN","2026-03-30 09:33:46"
"152","comsys_30/03","IN","2026-03-30 09:33:47"
"153","comsys_30/03","OUT","2026-03-30 09:33:49"
"154","comsys_30/03","IN","2026-03-30 09:33:50"
"155","comsys_lab_30/03","OUT","2026-03-30 13:00:00"
"156","comsys_lab_30/03","OUT","2026-03-30 13:00:33"
"157","comsys_lab_30/03","IN","2026-03-30 13:00:35"
"158","comsys_lab_30/03","OUT","2026-03-30 13:00:37"
"159","comsys_lab_30/03","IN","2026-03-30 13:00:38"
"160","comsys_lab_30/03","OUT","2026-03-30 13:00:39"
"161","comsys_lab_30/03","IN","2026-03-30 13:00:40"
"162","comsys_lab_30/03","IN","2026-03-30 13:00:41"
"163","comsys_lab_30/03","OUT","2026-03-30 13:00:42"
"164","comsys_lab_30/03","IN","2026-03-30 13:00:43"
"165","comsys_lab_30/03","IN","2026-03-30 13:00:44"
"166","comsys_lab_30/03","IN","2026-03-30 13:00:45"
"167","comsys_lab_30/03","IN","2026-03-30 13:00:46"
"168","comsys_lab_30/03","IN","2026-03-30 13:00:47"
"169","comsys_lab_30/03","IN","2026-03-30 13:00:48"
"170","comsys_lab_30/03","IN","2026-03-30 13:00:49"
"171","comsys_lab_30/03","OUT","2026-03-30 13:00:50"
"172","comsys_lab_30/03","IN","2026-03-30 13:00:51"
"173","comsys_lab_30/03","IN","2026-03-30 13:00:52"
"174","comsys_lab_30/03","OUT","2026-03-30 13:00:53"
"175","comsys_lab_30/03","IN","2026-03-30 13:00:54"
"176","comsys_lab_30/03","OUT","2026-03-30 13:00:55"
"177","comsys_lab_30/03","IN","2026-03-30 13:00:56"
"178","comsys_lab_30/03","IN","2026-03-30 13:00:57"
"179","comsys_lab_30/03","IN","2026-03-30 13:00:58"
"180","comsys_lab_30/03","IN","2026-03-30 13:00:59"
