"id","temp_c","humid_p","rainfal_mm","lat","lon","create_time"
"1","29.2","76","0","13.9192","100.605","2026-03-23 22:00:00"
"8","28.7","76","0","13.9192","100.605","2026-03-24 01:00:00"
"9","28","80","0","13.9192","100.605","2026-03-24 04:00:00"
"10","28.5","78","0","13.9192","100.605","2026-03-24 07:00:00"
"11","32.4","61","0","13.9192","100.605","2026-03-24 10:00:00"
"15","35.3","48","0","13.9192","100.605","2026-03-24 13:00:00"
"16","35.3","46","0","13.9192","100.605","2026-03-24 16:00:00"
"17","31.4","60","0","13.9192","100.605","2026-03-24 19:00:00"
"18","29.6","73","0","13.9192","100.605","2026-03-24 22:00:00"
"19","29.1","74","0","13.9192","100.605","2026-03-25 01:00:00"
"20","28.5","77","0","13.9192","100.605","2026-03-25 04:00:00"
"21","28.4","78","0","13.9192","100.605","2026-03-25 07:00:00"
"22","33.3","56","0","13.9192","100.605","2026-03-25 10:00:00"
"23","35.2","46","0","13.9192","100.605","2026-03-25 13:00:00"
"24","34.8","46","0","13.9192","100.605","2026-03-25 16:00:00"
"25","31.6","56","0","13.9192","100.605","2026-03-25 19:00:00"
"26","30","71","0","13.9192","100.605","2026-03-25 22:00:00"
"27","29.1","75","0","13.9192","100.605","2026-03-26 01:00:00"
"28","28.5","81","0","13.9192","100.605","2026-03-26 04:00:00"
"29","28.6","80","0","13.9192","100.605","2026-03-26 07:00:00"
"30","33.5","52","0","13.9192","100.605","2026-03-26 10:00:00"
"31","36.2","41","0","13.9192","100.605","2026-03-26 13:00:00"
"32","36.1","44","0","13.9192","100.605","2026-03-26 16:00:00"
"33","32.8","54","0","13.9192","100.605","2026-03-26 19:00:00"
"34","30.2","71","0","13.9192","100.605","2026-03-26 22:00:00"
"35","29.4","77","0","13.9192","100.605","2026-03-27 01:00:00"
"36","28.8","78","0","13.9192","100.605","2026-03-27 04:00:00"
"37","28.8","78","0","13.9192","100.605","2026-03-27 07:00:00"
"38","33.1","56","0","13.9192","100.605","2026-03-27 10:00:00"
"39","35.8","47","0","13.9192","100.605","2026-03-27 13:00:00"
"40","35.2","48","0","13.9192","100.605","2026-03-27 16:00:00"
"41","30.7","64","0","13.9192","100.605","2026-03-27 19:00:00"
"42","29","77","0","13.9192","100.605","2026-03-27 22:00:00"
"43","28.6","79","0","13.9192","100.605","2026-03-28 01:00:00"
"44","28.4","79","0","13.9192","100.605","2026-03-28 04:00:00"
"45","28.6","77","0","13.9192","100.605","2026-03-28 07:00:00"
"46","32.5","60","0","13.9192","100.605","2026-03-28 10:00:00"
"47","34.7","50","0","13.9192","100.605","2026-03-28 13:00:00"
"48","35.4","44","0","13.9192","100.605","2026-03-28 16:00:00"
"49","30.9","60","0","13.9192","100.605","2026-03-28 19:00:00"
"76","29.6","73","0","13.9192","100.605","2026-03-28 22:00:00"
"84","29","76","0","13.9192","100.605","2026-03-29 01:00:00"
"85","28.4","76","0","13.9192","100.605","2026-03-29 04:00:00"
"86","28.7","73","0","13.9192","100.605","2026-03-29 07:00:00"
"87","34.6","48","0","13.9192","100.605","2026-03-29 13:00:00"
"88","35.3","41","0","13.9192","100.605","2026-03-29 16:00:00"
"89","30.5","63","0","13.9192","100.605","2026-03-29 19:00:00"
"90","29.4","67","0","13.9192","100.605","2026-03-29 22:00:00"
"91","28.6","74","0","13.9192","100.605","2026-03-30 01:00:00"
"92","27.1","79","0","13.9192","100.605","2026-03-30 04:00:00"
"93","28.4","75","0","13.9192","100.605","2026-03-30 07:00:00"
"98","32.7","57","0","13.9192","100.605","2026-03-30 10:00:00"
"99","33.4","52","0","13.9192","100.605","2026-03-30 13:00:00"
"100","34.4","49","0","13.9192","100.605","2026-03-30 16:00:00"
"101","30","66","0","13.9192","100.605","2026-03-30 19:00:00"
"102","28.8","72","0","13.9192","100.605","2026-03-30 22:00:00"
"103","32.7","55","0","13.9192","100.605","2026-03-31 10:00:00"
"104","35.7","44","0","13.9192","100.605","2026-03-31 13:00:00"
"105","35.8","42","0","13.9192","100.605","2026-03-31 16:00:00"
"106","32.3","53","0","13.9192","100.605","2026-03-31 19:00:00"
"107","29.4","70","0","13.9192","100.605","2026-03-31 22:00:00"
"108","28.6","79","0","13.9192","100.605","2026-04-01 01:00:00"
"109","28.3","82","0","13.9192","100.605","2026-04-01 04:00:00"
"110","28.5","80","0","13.9192","100.605","2026-04-01 07:00:00"
"111","33.3","60","0","13.9192","100.605","2026-04-01 10:00:00"
"112","36.1","46","0","13.9192","100.605","2026-04-01 13:00:00"
"113","36.6","41","0","13.9192","100.605","2026-04-01 16:00:00"
"114","31.6","64","0","13.9192","100.605","2026-04-01 19:00:00"
"115","29.9","76","0","13.9192","100.605","2026-04-01 22:00:00"
"116","29","83","0","13.9192","100.605","2026-04-02 01:00:00"
"117","28.6","82","0","13.9192","100.605","2026-04-02 04:00:00"
"118","28.7","83","0","13.9192","100.605","2026-04-02 07:00:00"
"119","33.1","60","0","13.9192","100.605","2026-04-02 10:00:00"
"120","36.6","39","0","13.9192","100.605","2026-04-02 13:00:00"
"121","36","31","0","13.9192","100.605","2026-04-02 16:00:00"
"122","31.3","54","0","13.9192","100.605","2026-04-02 19:00:00"
"123","29.7","69","0","13.9192","100.605","2026-04-02 22:00:00"
"124","28.9","71","0","13.9192","100.605","2026-04-03 01:00:00"
"125","28.4","80","0","13.9192","100.605","2026-04-03 04:00:00"
"126","29.1","74","0","13.9192","100.605","2026-04-03 07:00:00"
"127","33.4","56","0","13.9192","100.605","2026-04-03 10:00:00"
"128","35","50","0","13.9192","100.605","2026-04-03 13:00:00"
"129","34.6","48","0","13.9192","100.605","2026-04-03 16:00:00"
"130","30.5","64","0","13.9192","100.605","2026-04-03 19:00:00"
"131","29.8","67","0","13.9192","100.605","2026-04-03 22:00:00"
"132","29.1","73","0","13.9192","100.605","2026-04-04 01:00:00"
"133","28.6","79","0","13.9192","100.605","2026-04-04 04:00:00"
"134","28.8","83","0","13.9192","100.605","2026-04-04 07:00:00"
"135","32.7","56","0","13.9192","100.605","2026-04-04 10:00:00"
"136","35.7","43","0","13.9192","100.605","2026-04-04 13:00:00"
"137","35.6","45","0","13.9192","100.605","2026-04-04 16:00:00"
"138","32.6","51","0","13.9192","100.605","2026-04-04 19:00:00"
"139","29.8","78","0","13.9192","100.605","2026-04-04 22:00:00"
